ID_rec	ID_vow	label_wov	F1_1	F1_2	F1_3	F1_4	F1_5	F2_1	F2_2	F2_3	F2_4	F2_5
Be_02	21	e:	1378.6787202166618	1353.6595932922685	1314.3592795693849	1270.288960104052	1129.2220139815233	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	22	Y	424.0929311780007	409.318784181403	1257.1958642598145	1332.4143076671608	1175.7953334337917	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	23	A:	1433.4315728459958	931.3993521939204	1076.6155824513949	906.1339771786066	776.6995354131276	--undefined--	2586.5551103045023	--undefined--	--undefined--	--undefined--	
Be_02	24	o:	467.4351990502461	583.8477971483304	566.708749230935	578.3208105886525	697.5665661547128	2412.1373018660975	2403.1278006112016	2334.556255154647	2242.9251358150827	2376.5776214694756	
Be_02	25	e:	786.9040191328795	959.597221718956	912.5998459411923	1068.6528825528949	1058.0995543941424	--undefined--	2276.36747372638	1966.850318993963	2261.8862742704305	--undefined--	
Be_02	26	i:	302.1848085927964	379.3858748182777	374.4616890443175	1414.6337941355882	1309.97254172531	--undefined--	2268.8179215926893	2440.881195826599	--undefined--	--undefined--	
Be_02	27	o:	1043.1598643614996	1156.794128915097	1130.850607211563	888.8735214980255	822.7102625531799	--undefined--	--undefined--	--undefined--	2260.2051290524064	2212.9858904782127	
Be_02	28	A:	685.5777901007912	720.7711458905643	665.7685657668677	1866.902026013836	652.3816387753816	2358.096232640878	2237.422252657577	--undefined--	--undefined--	2577.886202719754	
Be_02	29	i:	2032.9109332595272	2105.555694659246	2111.678318129413	2179.5571791522007	2292.5429703275972	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	30	oe	1150.7591030671963	506.90581631675866	987.0161887078199	951.8805647795804	805.7204958680684	--undefined--	2645.2597335076343	--undefined--	--undefined--	2377.5428559030415	
Be_02	31	i:	560.1961797791138	666.9918536024735	662.2438881258935	647.2709107423564	541.9014808865469	2505.3379203861364	2467.208420148196	2439.1996583608475	2428.51622217138	--undefined--	
Be_02	32	o:	529.0938864175457	630.7181544608986	682.1258646630382	899.8830721598226	634.9290488349557	--undefined--	2527.2616805013495	2653.215143064052	--undefined--	--undefined--	
Be_02	33	i:	540.5170274032166	1247.5961184344565	2152.367719715693	2146.779109329956	2212.785302687922	2386.321717511404	2353.999761506153	--undefined--	--undefined--	--undefined--	
Be_02	34	e:	864.2749436176044	990.9863150417029	964.6337739712859	844.7821316135247	915.498162597341	2448.018127610495	2470.103412574297	2444.226247856906	2409.0321049640565	2411.6213221677494	
Be_02	35	i:	312.1619479984347	336.79968758490105	369.23333167718977	374.9253118214726	389.6840720864926	2799.6641817849354	2496.148247028615	2488.0234216484173	2735.675498340976	2428.857017276934	
Be_02	36	u:	923.0468956771986	1176.0897486364875	1154.6677715974672	1037.5245258801308	931.2483832348779	2394.4253975324145	2443.8786250726466	2445.063979339457	2446.532923112069	2491.782334477271	
Be_02	37	o:	771.9880353494751	773.9164968107657	810.6397859091804	867.5651514470484	895.2135313888055	2478.266350629775	2482.750590527709	2488.201491908947	2522.7926140850122	2428.7399823447067	
Be_02	38	e	1941.839447825017	1861.0797348462784	434.94484959281505	1407.4663338989537	2075.3511351630614	--undefined--	--undefined--	--undefined--	2680.3344894995985	--undefined--	
Be_02	39	A:	969.1771549542287	658.6869327008566	247.35837754502126	718.2027379389205	557.7030582874395	--undefined--	2506.7167203044814	2522.303226546035	2502.3752845621502	2694.28151433161	
Be_03	0	A:	961.7425540406742	956.0638584123096	1065.9339197767622	998.621175533613	1037.2336153364643	--undefined--	2636.733305315454	--undefined--	--undefined--	--undefined--	
Be_03	1	A:	773.8506524423224	786.3965811589416	872.7022572801845	891.1477136637918	846.4379017084194	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	2	A:	981.1976124462163	789.9459132100955	789.396719816384	810.9973919983603	826.371078286678	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	3	i:	1827.3443038090168	1716.297385700551	1846.3516216703354	1800.8300368744303	1823.2442581084842	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	4	i:	448.76430652033093	1438.2135003449366	1462.1101484038807	1411.3647157827263	1354.0238161728444	2575.970415792205	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	5	A:	777.1043714917175	771.4370918633342	739.0305651611413	804.260671975359	1348.5242480994586	1514.8555150925124	1476.36335319532	1470.1793793020702	--undefined--	--undefined--	
Be_03	6	o:	466.7842607739113	700.2924625879136	839.0116061679701	517.8486147194203	701.5357167985977	--undefined--	--undefined--	--undefined--	1192.2442639739793	1446.9483186221646	
Be_03	7	O	695.3447459167558	502.649033267141	528.9798077086516	485.10722631194045	491.64215594134674	--undefined--	--undefined--	--undefined--	2477.2293516481545	2661.0656788046767	
Be_03	8	a	473.95891550499846	764.9140459418163	755.3806560056104	671.0734617197338	739.6433189394336	2203.4761501411845	--undefined--	--undefined--	--undefined--	2629.321644350816	
Be_03	9	o:	658.9571716954632	718.0082241747658	681.4694475076827	653.3919155463955	430.8604313057088	--undefined--	--undefined--	--undefined--	--undefined--	1646.6527893295079	
Be_03	10	e:	1132.5836710239694	824.3147091346604	753.1835414729501	880.3282236186185	780.9554391938467	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	11	o:	644.7377836024241	676.4180116175313	710.8754555860845	716.9484565518251	734.109340125391	2453.332004031306	2448.630167891834	2457.2441605560593	2268.7487972896306	2375.794149119444	
Be_03	12	e:	445.21515121879327	1325.5376744238754	1390.4161190116852	604.7418491162936	717.3376342760938	2578.6743916324203	--undefined--	--undefined--	2523.6670152392403	2577.459504122752	
Be_03	13	o:	716.8144501667815	688.9391900802973	807.5166144759795	647.8912750389305	325.04588720180715	--undefined--	--undefined--	--undefined--	2716.0107506160025	1903.4581868411535	
Be_03	14	E:	993.182569747214	1082.8237831382621	892.5886104252386	897.1652453142483	1059.2983331316473	--undefined--	--undefined--	1729.9948238461177	2111.4939668803067	1520.8139963538067	
Be_03	15	e:	1161.4869241108838	1164.2117831719029	1062.5480160850857	1079.596201735933	1060.9173424881722	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	16	o:	571.2046854024119	550.9574264458911	598.0514861295915	656.9050814540109	661.3561660011302	1632.2794358703288	2396.37239895464	--undefined--	--undefined--	2824.796113896897	
Be_03	17	i:	449.8657457552155	425.5519866272574	366.5679302492156	211.04133887719792	1313.1048383063103	2469.440285868688	2528.913203762959	2530.123248444757	2796.5957647158452	2512.456545334381	
Be_03	18	e:	390.97184840773446	759.1665490163825	1155.814091759384	960.0958045279465	858.995680185227	2536.343372621699	--undefined--	2724.4227074497003	--undefined--	2526.487917768436	
Be_03	19	A:	1058.0428468867547	1009.2225351366884	1019.3443744403586	961.7959442351125	872.6818102531437	--undefined--	--undefined--	--undefined--	2702.1520949095725	2368.9669793580006	
Be_03	20	a	991.0356682526875	838.6723209799073	886.1551219067583	819.8989035595428	1017.8067971546611	--undefined--	--undefined--	--undefined--	2528.255731358066	--undefined--	
Be_03	21	Y	2567.0607841104293	372.7566081339959	385.060540719155	358.5971609415245	295.14182033736887	--undefined--	2775.670954326367	--undefined--	--undefined--	2686.4921542063794	
Be_03	22	e:	374.9358430973197	390.1700418968185	704.54560469123	887.4394626646424	941.3341029873178	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	23	i:	1294.7137618696572	2158.8239416503384	1112.404522017851	716.8086043399247	985.6258861554861	2530.1991231642724	--undefined--	--undefined--	2691.03249454992	2922.057428347256	
Be_03	24	A:	1010.5528373326471	1058.1922520423132	1018.8616793243832	1024.5799974873678	858.5578713181357	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	25	e:	1125.5213482519391	1221.648895826387	1371.3132905582709	1402.960544602173	1349.3922342828132	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	26	E	1426.880603834771	1485.0488564397058	1539.4753054589785	1159.4311966133744	1212.521109561567	--undefined--	--undefined--	--undefined--	1760.0993486697346	1477.1736455124346	
Be_03	27	A:	1455.745402090431	920.8366024617691	919.7500047439772	963.5467245858085	952.1916918999676	--undefined--	2505.8125076763235	1755.351673226085	--undefined--	--undefined--	
Be_03	28	e:	1446.2674975898144	1429.8068195468911	2143.893020433437	1593.1442361560653	1352.3554333682284	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_03	29	A:	747.7609155668048	804.8269857805296	706.1199840206826	1036.2201975703165	969.5594159940398	2374.4799848248526	--undefined--	2584.2756180176257	--undefined--	1820.8944360451017	
Be_03	30	U	666.2601718093325	728.5311013562439	780.999960817517	746.4039391690146	753.6679600431902	2039.2122284506222	2152.006167553591	2252.652137148763	2207.902125280303	2287.6332747807664	
Be_03	31	i:	1546.6615575191856	783.4299143305028	1520.176634748247	1300.0697406134898	490.22179831679983	--undefined--	1618.7606546480415	--undefined--	--undefined--	2424.8948826577894	
Be_03	32	e:	911.32656511126	948.8568750648861	1028.4228420816348	1061.3838018757288	985.8172406626961	2464.7193023767923	2634.0835231659726	--undefined--	--undefined--	--undefined--	
Be_04	0	a	880.4471918407824	880.8940787931879	882.27561775309	891.2424067439674	682.4618158534211	2910.6973740481426	2658.2000341507323	--undefined--	--undefined--	2515.036564780979	
Be_04	1	e:	1255.4727353269777	950.2954103273705	1260.8595692972933	1157.0797854758862	1064.2185441590107	--undefined--	2030.356659622477	--undefined--	--undefined--	--undefined--	
Be_04	2	E:	785.5499601886345	957.2358778310734	904.1889690983121	913.7953621539109	890.3228939368729	2036.5262769653968	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	3	A:	1503.7563629612337	756.9133977013394	1002.4436007007735	1193.6461539299696	980.3001942529804	--undefined--	1725.5975105982984	--undefined--	--undefined--	--undefined--	
Be_04	4	A:	353.2747172079944	987.1781050996696	921.4704137697511	796.603079016088	876.7510933076524	1825.156358337176	--undefined--	2138.977352629383	1924.4938296117	--undefined--	
Be_04	5	e:	1445.5763794121647	1467.5788338668242	1378.0321870353903	1223.7268589366333	888.9932004517385	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	6	A:	847.4907381561255	825.684613244439	763.7846824441426	837.190964802725	1010.1190024832359	--undefined--	2045.6226693574927	1612.3524230631779	1505.2352112352587	--undefined--	
Be_04	7	i:	362.5629800575794	310.3253957404776	893.8670583967668	1143.1844850638977	1258.9879370289757	2841.470190712762	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	8	e:	1544.5415611225847	1588.081980056241	1528.2560866330268	969.6196382639483	834.3903663883649	--undefined--	--undefined--	--undefined--	1986.1118325337934	1921.999083595537	
Be_04	9	o:	342.24641855136366	290.4048916598656	304.47311676372397	302.7286146503196	197.33822762737577	2087.2869461309806	2237.173432306497	2200.545588661504	2086.7954787029166	2207.2881356147445	
Be_04	10	A:	776.6651778283751	733.8049790590655	702.3601815320724	731.1475795351726	785.3967612971723	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	11	a	857.5098088233208	949.3695217640915	812.1146125723224	511.7069775847179	875.9597285232978	2419.5212948354215	--undefined--	2783.8589274669016	--undefined--	--undefined--	
Be_04	12	a	705.2459186097686	753.512991446396	729.6319464598341	832.5112966219845	711.2737142340852	--undefined--	--undefined--	2945.7844979543534	--undefined--	--undefined--	
Be_04	13	o:	722.7700839409638	667.453789635529	656.6115191196155	429.1769864409656	276.2148585250848	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	14	e:	1059.1294626176245	969.4574410707953	734.2076037454335	990.0403599891195	283.584782368308	1799.3322745691294	1654.7247353654016	1574.1804119317487	1348.2409172580794	1561.9133729320665	
Be_04	15	E	1474.9210157016105	971.9673823513635	1428.58793510019	1417.7979152333296	1453.9190088315822	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	16	U	479.00694876707337	514.7367084339779	322.12258796129544	453.81269136848545	399.2318899812469	2221.855151055384	2406.6451799973934	2004.7594720706145	2623.6562926235806	--undefined--	
Be_04	17	a	847.6639230937917	920.1168884407787	896.8167670775014	878.6861691339526	932.9180339929453	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	18	A:	723.166784559867	743.6349404216404	739.8401110323949	739.4438473927311	702.1492309709552	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	19	U	654.0768278184831	685.1595701202272	595.6259513529827	504.04070058675916	336.477937128508	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	20	e:	825.8130611621047	726.8671412131271	758.9428455606103	811.5384274477259	841.3321725774592	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_04	21	ale	135.1382034750876	1602.861207469464	574.8030235893673	1029.3051482292788	1055.4252956366363	2720.640105449469	--undefined--	2494.3633232382776	--undefined--	--undefined--	
Be_04	22	@	428.7223444188676	404.57447618762745	405.6293567481355	1407.1075120607657	273.1670323379003	2415.2660345870254	2275.4028028272746	2110.9203266192867	--undefined--	1722.528090067814	
Be_04	23	i:	2516.255356889327	2144.62806543004	2419.25215074692	2071.185156188008	2438.580761269971	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	0	A:	797.0603975512861	853.5172239416436	809.8055615326423	805.0030141493866	822.6357843639406	2377.7903609582236	2454.295669304218	2412.761748529882	2237.477500583929	--undefined--	
Be_05	1	}:	614.9411758800269	564.7143847955015	722.7105232385546	713.1798251093443	484.9624533302526	--undefined--	2348.772584524468	--undefined--	--undefined--	--undefined--	
Be_05	2	2:	1018.2963790090104	964.3707868162143	485.5509861783045	569.3700529793507	676.7178179250352	--undefined--	--undefined--	2019.4056876239522	1528.8112217854352	1380.6757008892387	
Be_05	3	e:	1018.7309375676749	1032.2591391249694	1029.6936898410643	910.5313299376082	1023.605586214945	1303.259167600231	1290.5125833737368	1646.7398420656934	1519.793025119691	--undefined--	
Be_05	4	u:	522.0424727335853	540.0220857944696	620.4562651224247	655.5266400717113	417.9757087300649	--undefined--	--undefined--	--undefined--	1993.1421307971125	1604.1772895667577	
Be_05	5	o:	388.86359823785733	430.42549415294746	473.5450425295303	541.8678119443575	614.2115919182045	2730.2004146721906	2625.856525517168	--undefined--	--undefined--	2625.971331969492	
Be_05	6	e	2318.8109204899793	2094.540455464233	1462.9269874682318	872.4618632979227	728.0425150971247	--undefined--	--undefined--	--undefined--	1780.698614017038	1546.0260062421598	
Be_05	7	A:	893.2456301370575	751.3397098106433	864.3578178205072	871.8285439855496	752.2163338635041	--undefined--	2630.081617918434	--undefined--	--undefined--	--undefined--	
Be_05	8	a	1220.4500042401828	872.7391630038084	339.9862362650002	236.8062692726643	227.9326663824811	--undefined--	--undefined--	--undefined--	2218.0429214425963	2654.0021576811064	
Be_05	9	e:	1332.4667736087304	1612.2325470725773	1463.8855662208744	1375.285063529936	1190.2107490564892	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	10	a	885.1195176984132	891.61510353607	894.4403882167451	881.4297099921417	770.0916338483223	2187.737896946612	2136.328359244633	--undefined--	--undefined--	--undefined--	
Be_05	11	e:	1160.5968243320065	1144.1728040911532	1132.688486946407	1420.9454974792932	1139.4750481115823	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	12	o:	653.6411350987765	782.209866080563	893.8787819484431	849.2027380124516	759.2033547089625	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	13	A:	959.5731849302144	988.0261217554937	963.8026799634449	956.374508137169	995.3684489296034	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	14	a	1025.8104938947736	946.905772541355	797.5622696793466	962.3607614537017	1289.1083687539324	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	15	A:	970.5680204077104	1011.4732167886622	1018.723910927958	1020.0578312897009	904.7587332722902	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	16	o:	592.5852678432309	542.6342517436285	533.6143031178915	446.85714632827927	376.05302462158755	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	17	o:	386.5950442848323	381.9467004016699	370.3200179499493	371.02163742804447	351.39631021914676	2492.0016689506074	2491.966875345783	2583.988083145962	2527.1746107199333	2440.552760410823	
Be_05	18	A:	1244.5021464469828	1006.8910147763454	861.0397350147457	870.868263634509	879.5987369206298	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	19	i:	443.2179482377757	2452.1594257148668	2083.902240128142	2344.2532890975363	2513.275209697517	2435.3314667914688	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	20	e:	610.0482528259016	857.2155936560939	1464.7146825878403	970.7897409156194	713.6640361479399	1854.539325814364	1872.338378048357	--undefined--	1709.6712823124544	1785.093220210367	
Be_05	21	ale	632.6686209266949	1481.3850467957222	1353.837010795438	574.9812422011772	341.56285794050706	--undefined--	--undefined--	--undefined--	2575.92214834591	2337.2915799139105	
Be_05	22	@	760.2151200548949	799.9903017457687	732.2868149280353	736.1924792753916	810.0802913352392	2091.8978497118896	2010.4885362418447	1981.7701915994464	2013.8897679018257	2098.6956882248	
Be_05	23	a	860.6223156531614	801.8302144348872	794.6596079177265	879.0316744198751	805.0252157770918	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	24	U	368.5890337796651	377.61027408704297	375.58536769942646	379.1173096130183	386.0268844989598	2306.233636183352	2360.883953853703	2390.8881472861303	2449.8534603781536	2459.4454213895774	
Be_05	25	@	865.2330944184964	781.5908282792336	714.3216195042098	490.50367709868374	653.6232469993274	2028.3266471025552	2127.2755783704974	1997.3418829454642	2051.6726856424893	--undefined--	
Be_05	26	a	815.5655600310116	796.448597381463	839.7135470699676	778.3580631755425	730.4725065771806	--undefined--	2279.3609074915466	2106.864136589659	1917.7826760894338	--undefined--	
Be_05	27	A:	706.8720445778803	708.4398743131598	682.2375884928896	789.6829212782162	749.4093176169841	--undefined--	2477.322993318483	2532.124923807123	--undefined--	--undefined--	
Be_05	28	o:	775.5723882748948	733.1573332070227	689.4634122516293	674.604133433026	642.0232012006277	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	29	a	922.5287318903166	799.1235467874822	880.406195345426	860.9984891653653	838.8860756657261	--undefined--	--undefined--	2008.3423603196313	1875.0847024875857	1954.134622608974	
Be_05	30	u:	438.17858489247794	461.4841221318785	449.3523599015236	343.133492591276	348.8823385015624	2374.805210876942	--undefined--	--undefined--	--undefined--	2333.319648692669	
Be_05	31	e:	803.3182801666509	1042.5958687922591	995.5310673868919	765.5288230751171	928.9022329923259	1267.5665286265378	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	32	E:	927.5564575806285	1026.4573872405642	1257.1631521325219	1097.2053931002192	940.9161382581515	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	33	e:	952.5712643309486	1549.331322181987	1426.4896174322585	1384.7457470653983	1511.6297050336973	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_05	34	i:	688.9231802462157	371.8526935513807	124.80653639142315	1104.1750748702784	1686.831011414206	2208.5486685577876	1762.6374217888022	1629.5724870916745	--undefined--	--undefined--	
Be_05	35	oe	332.54980972158387	1503.246976599942	1393.7925348406966	1313.7933631256903	1257.5998658634949	1496.7207591767387	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	0	u0	819.1554229518669	800.673355446163	758.976018099476	733.6537547135698	750.2958820660391	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	1	a	605.2968441386516	568.3798090482054	587.3517125963342	593.9303527992447	655.8875106736047	2164.850830356558	2034.297182036292	2372.037520768374	2305.370601350435	2044.4348678834317	
Be_06	2	a	1612.217631056691	1656.9654030372144	1673.594944100436	1748.0861661902534	1784.503277795996	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	3	e:	395.7423526781267	258.7773382982111	362.99006214627394	308.51068346010055	1524.9089327884785	2153.512671864785	2211.535852795435	2236.4529399982266	2126.5234104145925	--undefined--	
Be_06	4	U	710.6918707571501	815.6445120068718	696.0494043972459	693.9983662921478	409.5124826255875	--undefined--	2808.02525609269	--undefined--	2237.554792164744	1722.0133252695161	
Be_06	5	e:	818.265379439979	2187.368554277987	758.4851675095204	701.5617550032218	969.8256653990342	2355.2236841425797	--undefined--	2110.6123483238894	2165.6368991382387	2237.031668840527	
Be_06	6	E	1612.9560265806374	2080.850487091714	2366.3765888466614	2065.766693210292	2027.921773537192	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	7	e:	1018.6917177003118	2074.357570279586	1871.6519049970432	1937.444879237421	2031.1102712315226	2217.464399036188	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	8	a	2077.2463369987263	637.1235862694529	662.0427183089041	747.4298066560933	1093.1429288946108	--undefined--	1673.5303088694693	2105.6987787700655	2066.6986453251207	--undefined--	
Be_06	9	A:	843.7136830422539	843.1342485995988	893.282408133899	755.9870998850691	766.1335247179702	1932.902438949872	2030.6404503425556	2239.2352248154234	--undefined--	--undefined--	
Be_06	10	a	2004.8460025444342	2092.084340840285	2093.736942615284	966.2869915461127	1360.854960990084	--undefined--	--undefined--	--undefined--	2424.205967502268	2329.272312133085	
Be_06	11	a	1392.5528903723239	1330.0620217291364	739.2860132687681	558.897453968775	552.9142950721855	--undefined--	--undefined--	--undefined--	--undefined--	2923.2628238331345	
Be_06	12	A:	565.7778000581046	659.416073873076	935.8093670349488	1082.833841956189	1112.9482490576115	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	13	2	1328.9618479532242	1291.3920776052823	1304.0178118340323	1341.4922429648493	1352.1977268001892	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	14	i:	395.0139648164988	390.8508998314181	331.7893713940809	358.1013374112533	1205.0686924340177	2271.7602560347095	2383.555470013621	2451.1630058521205	2462.914705551337	--undefined--	
Be_06	15	i:	643.5796947090162	1322.6165212007913	1208.5674735860457	977.9436626668747	1247.2475998155016	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_06	16	E	1424.3818052752385	1413.831461917443	1467.911815960013	1447.6467112337766	1372.575170424693	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
